NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
Bent-ten Dolle B.V.;BV;Driemarkweg 12;7102 EX;WINTERSWIJK;B.H.  Bent;EUR;25-09-17;3;;
Sterenborg Transport V.o.f.;VOF;Hoofdkanaal WZ 28;7881 AB;EMMER COMPASCUUM;W.  Sterenborg;EUR;01-01-18;2;;
Beeren's Internationaal Transportbedrijf B.V.;BV;Marco Polo Weg 10;5928 LE;VENLO;L.M.  Beeren;EUR;01-01-18;42;;
Amerongen Kamphuis B.V.;BV;Ambachtsweg 15;3771 MG;BARNEVELD;J.  Kamphuis;EUR;01-01-18;69;;
B.V. Internationaal Transportbedrijf G.A. van Velthoven;BV;Bovendijk 30;2295 RZ;KWINTSHEUL;R.A.M. van Velthoven;EUR;01-01-18;52;;
Transportbedrijf Blotenburg B.V.;BV;Ruitenbeekweg 2 A;6741 HC;LUNTEREN;A.  Simonsz;NAT;;6;;
Boeve & Zn. V.o.f.;VOF;Zalkerdijk 41 A;8276 AB;ZALK;J.W.  Boeve;NAT;;1;;
Boonen Transport V.o.f.;VOF;Reling 75;3863 VB;NIJKERK;F.  Boonen;EUR;08-01-18;3;;
Koninklijke Meubeltransport Maatschappij De Gruyter en Co N.V.;Naamloze vennootschap gewone structuur;Industrieweg 11-13;2382 NR;ZOETERWOUDE;C.C.  Kiesewetter;EUR;01-01-18;11;;
J. Bos, h.o.n. R. Bos & Zonen;Eenmanszaak;Engelanderweg 13;7361 CT;BEEKBERGEN;J.  Bos;EUR;02-10-19;3;;
Bouwman Doorwerth B.V.;BV;De Overmaat 74;6831 AJ;ARNHEM;J.P.  Bensink;NAT;;1;;
Transportbedrijf H. ten Brinke en Zn. B.V.;BV;Morsweg 24;7461 AG;RIJSSEN;H. ten Brinke;EUR;03-02-18;16;;
Lock Transport B.V.;BV;Industriestraat 4 B;3371 XD;HARDINXVELD-GIESSENDAM;P.  Lock;EUR;01-01-18;33;;
R. van den Broek, h.o.n. Transportbedrijf R. van den Broek;Eenmanszaak;Strausslaan 96;3781 HS;VOORTHUIZEN;R. van den Broek;NAT;;1;;
J. van den Brom & Zonen B.V.;BV;Amersfoortseweg 148;3864 NH;NIJKERKERVEEN;M.  Priem;NAT;;4;;
Verhuur- en Transportbedrijf T. Brouwer V.o.f.;VOF;Sisalstraat 25;8281 JJ;GENEMUIDEN;L.J.  Bosch;NAT;;4;;
Brouwer Transport v.o.f.;VOF;Poppenallee 13;7722 KW;DALFSEN;W.  Brouwer;EUR;06-09-17;5;;
Transportbedrijf Bruco V.o.f.;VOF;Schoolweg 5;6991 EB;RHEDEN;A.  Bruger;EUR;23-02-20;1;;
Pax Dedicated Transport B.V.;BV;Telfordstraat 39;8013 RL;ZWOLLE;S.  Plantinga;EUR;01-01-18;23;;
V.o.f. Busscher-Weerselo;VOF;Bornsestraat 14;7595 LG;WEERSELO;H.J.C.  Busscher;NAT;;2;;
V.O.F. Busser Transport;VOF;IJsseldijk 32;7431 RE;DIEPENVEEN;J.  Busser;EUR;08-03-20;1;;
Transportbedrijf Coenders en Zonen Druten B.V., h.o.n. Hengelsteeg Transport;BV;Driesweg 1;6628 KB;ALTFORST;T.G.P.B.  Veens-Coenders;EUR;17-08-15;3;;
Transportbedrijf G.D. van Dalem V.o.f.;VOF;Ridder Alartlaan 30;4116 EJ;BUREN;G.D. van Dalem;EUR;12-01-20;1;;
Transportbedrijf Deuzeman V.o.f.;VOF;Schapendijk 4;7735 KV;ARRIEN;H.J.  Deuzeman;EUR;20-03-16;1;;
Van Dijk Transport B.V.;BV;Montagestraat 5;8263 BP;KAMPEN;D.G. van Dijk;EUR;16-06-18;9;;
Van Dijk Containers B.V.;BV;Sisalstraat 35;8281 JJ;GENEMUIDEN;T.H. van Dijk;EUR;31-03-19;10;;
V.o.f. Fa. L. van Dijk en Zn.;VOF;Lus 26;8281 NS;GENEMUIDEN;T. van Dijk;EUR;16-02-19;1;;
Bergtrans B.V.;BV;De Prinsenhof` 3;4004 LN;TIEL;H.M. van den Berg;EUR;01-01-18;10;;
V.o.f. Gebr. Van Dijk;VOF;Matensestraat  24;6669 CJ;DOEDEWAARD;J. van Dijk;EUR;17-02-18;3;;
H.H. Disbergen, h.o.n. Transportbedrijf E. Disbergen;Eenmanszaak;Breegraven 128;7231 JJ;WARNSVELD;H.H.  Disbergen;EUR;26-07-16;2;;
Jan de Rijk Benelux B.V.;BV;Leemstraat 15;4705 RT;ROOSENDAAL;J.G.M. de Rijk-Heeren;EUR;01-01-18;50;;
V.o.f. Van Echteld Transport;VOF;Zandstraat 143  A;6658 CS;BENEDEN-LEEUWEN;A.P.A. van Echteld;EUR;03-03-18;13;;
Dusseldorp Inzameling en Recycling B.V.;BV;Galileistraat 18;7131 PE;LICHTENVOORDE;M.R.  Holm;EUR;24-05-15;147;;
Snebo V.o.f.;VOF;Arnendijk 3;4641 PB;OSSENDRECHT;A.J.  Snepvangers;EUR;01-01-18;3;;
V.o.f. Firma Ennik;VOF;Kampweg 13;8316 AG;MARKNESSE;J.  Ennik;EUR;01-01-18;4;;
K.J.G. Engel, h.o.n. Engel Transportbedrijf Elburg;Eenmanszaak;Coragestraat 43;8081 XG;ELBURG;K.J.G.  Engel;EUR;27-12-15;3;;
V.o.f. Van Essen;VOF;Vinkekampweg 57;3774 PK;KOOTWIJKERBROEK;F.  Essen;EUR;29-11-15;3;;
Evers Transport V.o.f.;VOF;Meulunterseweg 86;6741 HP;LUNTEREN;R.M.G.  Evers;EUR;29-04-18;4;;
J. Faasse, h.o.n. Fabo Transport;Eenmanszaak;Vaartweg 118-120;8243 PP;LELYSTAD;J.  Faasse;NAT;;2;;
S. en T. de Geijter B.V.;BV;Watervalweg 137;3851 VB;ERMELO;A.  Beers-de Geijter;NAT;;2;;
G. de Greef en Zn. B.V.;BV;Oude Holleweg 59;3927 CK;RENSWOUDE;J. de Greef;EUR;01-01-18;12;;
Z.G. Goyer, h.o.n. Transportbedrijf George Goyer;Eenmanszaak;Hogeweg 9;6621 BM;DREUMEL;Z.G.  Goyer;EUR;23-07-18;4;;
Janssen Distribution Services B.V.;BV;Newtonweg 10;5928 PN;VENLO;C.J.A.M.  Jansen;EUR;01-01-18;84;;
Transportbedrijf Maters Huissen B.V.;BV;Nijverheidstraat 10;6851 EJ;HUISSEN;G.J.  Maters;EUR;01-01-18;93;;
V.O.F. van Haren;VOF;Rijnsteeg 74;6708 PK;WAGENINGEN;J.J. van Haren;NAT;;1;;
Hardeman Zand- en Grindhandel B.V.;BV;Middelbuurtseweg 47 A;3903 LB;VEENENDAAL;G.A.  Hardeman;EUR;05-07-15;4;;
Transportbedrijf J.M. Coenen Boxmeer B.V.;BV;Graafseweg 25;5831 AA;BOXMEER;T. G. M.  Coenen;EUR;01-01-18;19;;
Van Gansewinkel Transporten B.V.;BV;Den Engelsman 4;6026 RB;MAARHEEZE;J.A.T.  Hoogers;EUR;01-01-18;52;;
Transport- en Aannemingsbedrijf van Harten B.V.;BV;Neonstraat 20;6718 WV;EDE;L. van Harten;EUR;04-11-19;10;;
V.o.f. Fa. Heijman Melktransport;VOF;Bierkade 5;8356 DH;BLOKZIJL;L.H.M.  Heijman;NAT;;1;;
C.A.P. Arts, h.o.n. Arts en Zoon;Eenmanszaak;Lagelandseweg 36;6545 CE;NIJMEGEN;C.A.P.  Arts;EUR;01-01-18;3;;
V.o.f. Heite Melktransport;VOF;Kloosterweg 14;8326 CD;SINT JANSKLOOSTER;A.  Heite;NAT;;1;;
V.o.f. H. Heijting Angeren, h.o.n. H. Heijting Angeren Transport;VOF;Paddepoel 4;6687 LN;ANGEREN;M.J.M.  Heijting;EUR;03-03-18;11;;
Jacob Hissink Transport V.o.f.;VOF;Verzetsstraat 8;7396 CG;TERWOLDE;J.  Hissink;EUR;26-01-20;2;;
H. Hooijer, h.o.n. Henk Hooijer;Eenmanszaak;Harremaatweg 38;3781 NK;VOORTHUIZEN;H.  Hooijer;NAT;;1;;
Gist Nederland B.V.;BV;Klappolder 130;2665 LP;BLEISWIJK;K.  Brals;EUR;01-01-18;127;;
V.o.f. Hooijer;VOF;Harremaatweg 41;3781 NH;VOORTHUIZEN;A.E.H.  Hooijer;EUR;01-04-19;5;;
Transportbedrijf A. Huisman Ochten B.V., h.o.n. Transportbedrijf A. Huisman & Zn.;BV;Waalbandijk 57;4051 CK;OCHTEN;C.H.W.  Huisman;EUR;01-01-18;7;;
Huisman Transport B.V.;BV;Energieweg 1;6651 KT;DRUTEN;H.H.J.M.  Huisman;EUR;07-06-15;22;;
Jacobs Heteren B.V.;BV;Dorpsstraat 20;6666 AH;HETEREN;T.A.  Koopmans;EUR;01-09-18;8;;
Kelder's Transportonderneming B.V.;BV;Verlengde Stuwdijk 6;7784 DB;ANE;G.J.M.  Kelder;EUR;21-11-17;6;;
V.o.f. Jan Jansen Transport;VOF;Laakweg 54;7045 BG;AZEWIJN;L.J.M.A.  Jansen;EUR;28-06-15;7;;
Internationaal Transportbedrijf Janssen Landgraaf B.V.;BV;Europaweg 312;6374 KZ;LANDGRAAF;N.H.P.J.  Keerssemeeckers;EUR;01-01-18;27;;
H.G. Kettelarij, h.o.n. Kettelarij Transport;Eenmanszaak;Zutphenseweg 64;7245 NV;LAREN;H.G.  Kettelarij;EUR;18-08-19;2;;
L. Klein, h.o.n. L. Klein Transportbedrijf Elburg;Eenmanszaak;Klokbekerweg 96;8081 JH;ELBURG;L.  Klein;EUR;17-02-18;1;;
Kraanbedrijf Schiltmans Tiel B.V.;BV;Simon Stevinstraat 13;4004 JV;TIEL;A.J.C.M.  Schiltmans;NAT;;3;;
Van Kesteren Milieuservice B.V.;BV;Ambachtsweg 16;6562 AV;GROESBEEK;J.H.T. van Kesteren;EUR;01-01-18;14;;
V.o.f. W.J. Knol en Zn.;VOF;Hogeveldweg 123;7532 RP;ENSCHEDE;W.J.  Knol;NAT;;1;;
"Expeditie- en Transportonderneming  ""De Zwaluw"" C.V.";Commanditaire vennootschap met 1 beh. vennoot;Sleutelbloemstraat 21;7322 AJ;APELDOORN;B.J.  Vesterink-Jonker;NAT;;1;;
V.o.f. Transportbedrijf Joostema;VOF;Kloosterweg 6  A;8191 JB;WAPENVELD;M.J.  Joostema-Wittingen;EUR;02-04-18;4;;
