NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
V.o.f. N.J. van der Pot en Zonen;VOF;Albert Schweitzerlaan 5;2552 PD;'s-GRAVENHAGE;;EUR;16-02-20;2;;
E.J. van Putte, h.o.n. Van Putte Transport;Eenmanszaak;Schuttevaerkade 105;3311 RB;DORDRECHT;;EUR;08-12-19;1;;
Maat Transport Groningen B.V.;BV;Pop Dijkemaweg 35;9731 BB;GRONINGEN;;EUR;01-01-18;1;;
"B.V. Transport en Expeditiebedrijf ""Cargofoor""";BV;Klipperweg 14;6222 PC;MAASTRICHT;;EUR;01-01-18;19;;
J.J. Remijnse;Eenmanszaak;Parkroos 52;3068 BX;ROTTERDAM;;EUR;17-10-18;1;;
Transportonderneming J.H. Baggen B.V.;BV;Holset 22;6295 NC;LEMIERS;;EUR;01-01-18;2;;
V.o.f. Fa. St. de With's en Zonen Handel- en Transportbedrijf;VOF;Hei en Boeicopseweg 19;4126 RD;HEI- EN BOEICOP;;EUR;01-01-18;2;;
Transportbedrijf A.J. Sonneveldt B.V.;BV;Hoofdweg 111;3067 GC;ROTTERDAM;;EUR;02-03-19;7;;
Romers Transport B.V.;BV;Donker Duyvisweg 75;3316 BL;DORDRECHT;;EUR;07-02-16;20;;
Jos Dusseldorp Transportbedrijf B.V.;BV;Galileistraat 45;7131 PE;LICHTENVOORDE;;EUR;01-01-18;62;;
F. Tolsma, h.o.n. F. Tolsma Transport;Eenmanszaak;Domela Nieuwenhuisweg 13;9245 VA;NIJ BEETS;;EUR;01-01-18;2;;
Van Leeuwen Containers B.V.;BV;De Scheysloot 60;2201 GN;NOORDWIJK;;NAT;;16;;
A.M. Schillemans, h.o.n. Transportbedrijf Schillemans;Eenmanszaak;Stockholmweg 7;3258 LS;DEN BOMMEL;;EUR;23-08-15;1;;
V.O.F. Transportbedrijf Fa. J. Rijsdijk;VOF;Thorbeckestraat 14;3291 BW;STRIJEN;;NAT;;2;;
INT. TRANSPORTBEDRIJF J. VAN ZEIST & Zn. B.V.;BV;De Vennen 55;7345 EC;WENUM WIESEL;;EUR;01-01-18;6;;
V.o.f. Fa. Transportbedrijf D.A. Slobbe;VOF;Rietzoom 110;2804 CW;GOUDA;;EUR;02-05-16;1;;
P. Verzendaal, h.o.n. Versendaal Transport;Eenmanszaak;Zinkweg 244;3262 BH;OUD-BEIJERLAND;;EUR;01-01-18;1;;
V.o.f. Firma SchaddÇ van Dooren;VOF;kalkbranderstraat 13;2222 BH;KATWIJK;;NAT;;3;;
Bakker Transport B.V.;BV;Hendoweg 12;9101 PC;DOKKUM;;EUR;01-01-18;5;;
V.o.f. De Jong Transport;VOF;Nije Buorren 2;8551 PN;WOUDSEND;;EUR;31-10-17;2;;
V.o.f. Fa. C.J. Schutter en Zn.;VOF;'t Lange Stuk 50;2421 TE;NIEUWKOOP;;NAT;;14;;
Teger Transport B.V.;BV;Stationstraat 18;7261 AD;RUURLO;;EUR;01-01-18;8;;
V.o.f. Slooter;VOF;Polderdijk 75;3299 LM;MAASDAM;;EUR;12-01-20;1;;
G. Snoeij, h.o.n. G. Snoeij Transportonderneming;Eenmanszaak;Bermweg 40;3059 LA;ROTTERDAM;;EUR;22-04-20;1;;
Expeditie- en Transportbedrijf F. Claassen B.V.;BV;Asteriastraat 8;5047 RM;TILBURG;;EUR;25-05-19;68;;
Gebr. Boerema B.V.;BV;Torenstraat 30;9982 AX;UITHUIZERMEEDEN;;EUR;01-01-18;2;;
Rijnart Internationaal Transportbedrijf B.V.;BV;Neutronweg 2;4706 PL;ROOSENDAAL;;EUR;01-01-18;25;;
J. van Stigt Thans;Eenmanszaak;Parallelweg Zuid 177;2914 LE;NIEUWERKERK A/D IJSSEL;;EUR;01-01-18;1;;
D.J.A. van Tilburg;Eenmanszaak;Steenbergseweg 12;4671 BG;DINTELOORD;;EUR;21-11-17;1;;
Gemeente Sliedrecht;Gemeente/gemeentelijke dienst;Industrieweg 11;3361 HJ;SLIEDRECHT;;NAT;;6;;
Trageco B.V.;BV;Maasdijk 10;2676 AE;MAASDIJK;;NAT;;3;;
A.J. Tieleman B.V.;BV;Oudeweg 16;4587 LD;KLOOSTERZANDE;;EUR;01-01-18;72;;
Transportbedrijf Van Veen B.V.;BV;Wenckebachstraat 13;9403 BG;ASSEN;;EUR;01-01-18;1;;
Vos Logistics Breukelen B.V.;BV;Merwedeweg 5  A;3621 LP;BREUKELEN;;EUR;01-01-18;55;;
C. Verdoorn, h.o.n. Cor Verdoorn Transportbedrijf;Eenmanszaak;De Hoogjens 26-28;4254 XW;SLEEUWIJK;;EUR;02-10-17;1;;
Loonbedrijf Ad Verbree B.V.;BV;Esdoornstraat 27;3465 JL;DRIEBRUGGEN;;NAT;;1;;
Transportbedrijf Cerfontaine B.V.;BV;Rijksweg 5;6325 PE;BERG EN TERBLIJT;;EUR;01-01-18;15;;
Transportbedrijf Ganzeveld V.o.f.;VOF;Oude Norgerweg 6;9491 AK;ZEIJEN;;EUR;29-12-18;1;;
V.o.f. Van der Vliet's Transport;VOF;St. Pietersweg 8;3244 LP;NIEUWE TONGE;;EUR;01-01-18;3;;
Van Vliet c.s. Transport Sliedrecht B.V.;BV;Industrieweg 27;3361 HJ;SLIEDRECHT;;NAT;;8;;
Convoi B.V.;BV;Schotlandlaan 10;6199 AL;MAASTRICHT-AIRPORT;;EUR;01-01-18;80;;
V.o.f. Firma H.A. de Vries en Zonen;VOF;Katwijkerbroek 18;2223 XP;KATWIJK;;EUR;23-02-20;5;;
Schuiling Handel enTransport B.V.;BV;Bredestraat Noord 32;6674 MP;HERVELD;;EUR;01-01-18;10;;
J.L. Mijnders Transport II B.V.;BV;Ruijgenhil 11;3248 BR;MELISSANT;;EUR;01-01-18;82;;
Mertens Transport B.V.;BV;Metaalweg 8;6045 JB;ROERMOND;;EUR;01-01-18;14;;
V.o.f. Firma J. van Leeuwen en Zn., h.o.n. Transportbedrijf J.J. van Leeuwen;VOF;Molenstraat 17;9921 PE;STEDUM;;EUR;01-01-18;1;;
Transportbedrijf W. Greving en Zonen B.V.;BV;Engelberterweg 79;9723 EL;GRONINGEN;;EUR;20-01-18;13;;
T.J. Kippersluis en Zn. B.V.;BV;Naarderstraatweg 5;1399 VR;MUIDERBERG;;NAT;;2;;
Gebr. Van den Bos Transporten B.V., h.o.n. Cargoboss;BV;Transportweg 27;2676 LM;MAASDIJK;;EUR;01-01-18;57;;
Arie Swijnenburg Transporten V.o.f.;VOF;B 20;2975 BG;OTTOLAND;;EUR;17-02-18;10;;
Koel- en Vriestransport Voesenek B.V.;BV;IABC 5262;4814 RD;BREDA;;EUR;01-01-18;114;;
Gebr. Huybregts Internationaal Expeditie- en Transportbedrijf B.V.;BV;Belle van Zuylenstraat 5;5032 MA;TILBURG;;EUR;01-01-18;104;;
Internationaal Transportbedrijf Maters B.V.;BV;Polseweg 11;6851 DA;HUISSEN;;EUR;01-01-18;12;;
Nabuurs-Van Opzeeland B.V.;BV;De Hootkamp 8;5321 JT;HEDEL;;EUR;01-01-18;184;;
A.P. Zeelenberg, h.o.n. A.P. Zeelenberg Transport;Eenmanszaak;Kerkstraat 17;2665 BD;BLEISWIJK;;EUR;01-01-18;1;;
Zuidhoek B.V.;BV;Loosterweg 35 A;2215 TM;VOORHOUT;;NAT;;3;;
Handels- en Transportbedrijf Giertra B.V.;BV;Vlaardingweg 22;3044 CK;ROTTERDAM;;EUR;07-06-15;11;;
Internationaal Transportbedrijf Van Opijnen B.V.;BV;Bochumstraat 6;7418 EK;DEVENTER;;EUR;01-01-18;54;;
Van Zijp Logistics B.V.;BV;Kelvinstraat 61;2723 RJ;ZOETERMEER;;EUR;01-09-18;7;;
Centrum Verhuizingen B.V.;BV;Watermolen 9;6229 PM;MAASTRICHT;;EUR;01-01-18;6;;
V.o.f.Transportbedrijf Firma A. Quist & Zonen;VOF;Mookhoek 1;3293 AC;MOOKHOEK;;EUR;01-01-18;2;;
Transportbedrijf H. Brink en Zn B.V.;BV;Energieweg 15;7772 TV;HARDENBERG;;EUR;01-01-18;27;;
Derksen Verhuizingen B.V.;BV;De Overmaat 39;6831 AE;ARNHEM;;EUR;01-01-18;7;;
V.o.f. Gebrs. De Bruijn;VOF;Stoofweg 16;4756 SC;KRUISLAND;;EUR;01-01-18;2;;
E.A. Breedveld, h.o.n. Breedveld Garage en Transport;Eenmanszaak;Gilze-Rijenstraat 52;3045 PJ;ROTTERDAM;;NAT;;6;;
H. Bestman Transport B.V.;BV;Veerweg 2;3281 LX;NUMANSDORP;;EUR;22-03-20;8;;
Louis Huys Speciaaltransport en Kraanverhuur B.V.;BV;Baarlosestraat 281;5926 PM;VENLO;;EUR;01-01-18;8;;
B.V. Handels- en Transportonderneming H.H.;BV;Randweg 6 A;2941 CG;LEKKERKERK;;EUR;29-05-17;5;;
J.K. Van den Dool B.V.;BV;Oostdorperweg 207;2241 BG;WASSENAAR;;NAT;;5;;
Transportbedrijf L.C. van Buijtene en Zn. B.V.;BV;Ambachtsweg 26;2641 KS;PIJNACKER;;EUR;22-01-17;17;;
J.L. Postmus en Zoon B.V.;BV;Valkenburgseweg 105;2223 KC;KATWIJK;;EUR;01-01-18;2;;
Baan Rijssen Transporten B.V.;BV;Daltonstraat 40;7461 AC;RIJSSEN;;EUR;01-01-18;35;;
Mandersloot's Expeditiebedrijf B.V.;BV;'t Zwarte Land 10;3925 CK;SCHERPENZEEL;;EUR;01-01-18;19;;
D. de Heer;Eenmanszaak;Hertenkruid 30;2914 TE;NIEUWERKERK A/D IJSSEL;;NAT;;1;;
B.V. Expeditie en Transportonderneming Rotterdam-Extra;BV;Muzieklaan 15;3261 GA;OUD-BEIJERLAND;;EUR;21-07-19;0;;
D.W. van Berkel, h.o.n. Van Berkel's Transporten;Eenmanszaak;Duyvenvoordestraat 51;2681 HJ;MONSTER;;NAT;;1;;
E. Moesbergen & Zn. B.V.;BV;Stationsweg Oost 281;3931 ER;WOUDENBERG;;EUR;01-01-18;8;;
Vos Bulk Logistics Oss B.V.;BV;Waalkade 4;5347 KS;OSS;;EUR;01-01-18;20;;
Schoenmaekers Verhuizingen en Goederenvervoer B.V.;BV;Ridderweg 47;6418 PH;HEERLEN;;EUR;26-02-19;1;;
Koninklijke Saan B.V.;BV;Weesperstraat 78-82;1112 AN;DIEMEN;;EUR;01-01-18;106;;
Kuehne + Nagel Logistics B.V.;BV;Marshallweg 1;5466 AH;VEGHEL;;EUR;01-01-18;102;;
Gemeente Westland;Gemeente/gemeentelijke dienst;Plein 13;2291 CA;WATERINGEN;;NAT;;5;;
G.J. Heijns, h.o.n. G.J. Heijns Transport;Eenmanszaak;Hoogerheijdestraat 22;2461 XE;TER AAR;;EUR;14-12-19;1;;
Transportbedrijf Wijsen Maastricht B.V.;BV;Slagmolen 1;6229 PP;MAASTRICHT;;EUR;01-01-18;40;;
Visscher Transport Truck & Trailer Service B.V.;BV;Schaarweg 1;8325 DC;VOLLENHOVE;;EUR;01-01-18;1;;
J.J.M.A. Ramaekers, h.o.n. Transportbedrijf Jos Ramaekers;Eenmanszaak;Sterre der Zeestraat 18;6269 AK;MARGRATEN;;EUR;08-11-15;1;;
Geerlings JLM Expeditie B.V.;BV;Finlandweg 16;4554 LW;WESTDORPE;;EUR;01-01-18;7;;
V.o.f. Transportbedrijf Gebr. Kouwenhoven;VOF;Katwijkerlaan 93;2641 PE;PIJNACKER;;EUR;21-11-17;6;;
Van den Heerik's Internationaal Transportbedrijf B.V.;BV;Grotendorst 1;1721 CW;BROEK OP LANGEDIJK;;EUR;01-01-18;46;;
Internationaal Transportbedrijf en Houtvezelhandel J.G. van Deuveren B.V.;BV;Harselaarseweg 86;3771 MB;BARNEVELD;;EUR;01-01-18;41;;
Albert van de Scheur, De Hijs- en Transportspecialist B.V.;BV;Tweelingenlaan 74;7324 BN;APELDOORN;;EUR;01-01-18;10;;
Aannemings- en Transportbedrijf Herruer B.V.;BV;Madame Curiestraat 34;2171 TW;SASSENHEIM;;NAT;;1;;
Dassen Transport B.V.;BV;Havikweg 16;6374 AZ;LANDGRAAF;;EUR;01-01-18;6;;
Transportbedrijf Leers en Zonen B.V.;BV;Voskuilenweg 77;6416 AH;HEERLEN;;EUR;23-10-16;3;;
Kempen Transport B.V.;BV;Venrayseweg 122  A;5928 RH;VENLO;;EUR;01-01-18;139;;
Van Rooyen en De Goede V.o.f., h.o.n. Veevoerders W. van Rooyen;VOF;Leidseweg 354;2253 JN;VOORSCHOTEN;;EUR;31-10-17;1;;
Internationaal Transport Gebr. Van der Lee B.V.;BV;Lekdijk 28;4124 KC;HAGESTEIN;;EUR;01-01-18;34;;
Den Hartogh Liquid Logistics B.V.;BV;Willingestraat 6;3087 AN;ROTTERDAM;;EUR;01-01-18;1;;
P.J. van der Gaag, h.o.n. P.J. van der Gaag Transport- en Handelsonderneming;Eenmanszaak;Prins Mauritssingel 8;3043 PG;ROTTERDAM;;EUR;01-01-18;1;;
De Bruijn & Nelisse Transport B.V.;BV;Sportlaan 1;2651 BZ;BERKEL EN RODENRIJS;;EUR;25-10-15;3;;
Internationaal Transportbedrijf Vonk en Co. B.V.;BV;Het Eek 3;4004 LM;TIEL;;EUR;01-01-18;65;;
V.o.f. Fa. P. Vlasman en Zonen;VOF;Seerob 16;9051 VA;STIENS;;EUR;01-01-18;4;;
Transportbedrijf J. van Appeldoorn & Zn. B.V.;BV;Parallelweg 6;3931 MT;WOUDENBERG;;EUR;01-01-18;46;;
Kuypers Kessel Transport en Logistiek B.V.;BV;Maasstraat 47;5995 NB;KESSEL;;EUR;01-01-18;36;;
V.o.f. Fa. D. Langerak;VOF;Parallelweg 63;3371 GC;HARDINXVELD-GIESSENDAM;;NAT;;1;;
Sloof Logistiek en Warehousing B.V.;BV;Merwedeweg 8;3336 LG;ZWIJNDRECHT;;EUR;01-01-18;11;;
K. Orak, h.o.n. K. Orak Internationaal Transportbedrijf;Eenmanszaak;Nachtegaalstraat 3;7523 ZG;ENSCHEDE;;EUR;27-02-17;2;;
Transportbedrijf G. van den Dool B.V.;BV;Ambachtsweg 24;2964 LG;GROOT-AMMERS;;EUR;01-01-18;8;;
E.J. Middelink Verhuis- en Transportbedrijf B.V.;BV;Adelaarslaan 24;7331 AZ;APELDOORN;;EUR;01-01-18;4;;
J.M. van Nierop Transport B.V.;BV;Vlotlaan 18;2681 RX;MONSTER;;EUR;01-01-18;8;;
V.o.f. Fa. P.M. de Wit & Zn.;VOF;Archangelkade 43;1013 BE;AMSTERDAM;;EUR;25-10-15;5;;
Timmermans Transport B.V.;BV;Buskes 14;5087 MA;DIESSEN;;EUR;01-01-18;40;;
M.J. de Winter Transport V.o.f.;VOF;Parallelweg-Zuid 25;2914 LC;NIEUWERKERK A/D IJSSEL;;EUR;09-10-18;10;;
Van Maanen Koeltransport B.V.;BV;Halkade 76;1976 DC;IJMUIDEN;;EUR;01-01-18;20;;
J.H. Kampman;Eenmanszaak;Waaldijk 81;2988 AV;RIDDERKERK;;EUR;15-12-18;1;;
Transportbedrijf Goudriaan B.V.;BV;Kerkweg 131  A;2935 AH;OUDERKERK A/D IJSSEL;;EUR;01-01-18;23;;
C.J. Tetteroo, h.o.n. C.J. Tetteroo Internationale Transporten;Eenmanszaak;Guldeland 50;2291 VL;WATERINGEN;;EUR;14-10-18;1;;
Hoogendoorn Transport B.V.;BV;Heer Oudelandslaan 63;3335 LB;ZWIJNDRECHT;;EUR;01-01-18;31;;
Dikker Transport B.V.;BV;van Linschotenstraat 14;5554 PM;VALKENSWAARD;;EUR;01-01-18;7;;
Jan Zijderhand Expeditie B.V.;BV;Bredeweg 24;2752 AA;MOERKAPELLE;;EUR;01-01-18;25;;
Eierhandel en Expeditiebedrijf J.W. van Horssen en Zonen V.O.F.;VOF;Kerksedriessen 11;5761 CG;BAKEL;;NAT;;2;;
Lubbers Benelux B.V.;BV;Klaverakker 1;7761 RA;SCHOONEBEEK;;EUR;01-01-18;86;;
Rijckx Transport B.V.;BV;Nieuwstraat 23;6099 AA;BEEGDEN;;EUR;20-01-18;8;;
Inter Rutges B.V.;BV;Tasveld 1;3417 XS;MONTFOORT;;EUR;01-01-18;40;;
IJzerman Kampen B.V.;BV;Betonstraat 23;8263 BL;KAMPEN;;EUR;01-01-18;8;;
Transportbedrijf Gebr. Dekker Vroomshoop B.V.;BV;Hammerweg 45;7681 EJ;VROOMSHOOP;;EUR;02-02-20;8;;
Hoitink Transport B.V.;BV;Albert Schweitzerstraat 9;7131 PG;LICHTENVOORDE;;EUR;01-01-18;24;;
B.Q. de Ruyter B.V.;BV;Hardwareweg 20;1033 MX;AMSTERDAM;;EUR;02-04-18;17;;
Daris Expeditie Bergeyk B.V.;BV;Diamantweg 65;5527 LC;HAPERT;;EUR;24-11-18;34;;
Bultsma Transport B.V.;BV;Handelsweg 12;1619 BJ;ANDIJK;;EUR;01-01-18;17;;
E. Lafeber Internationale Transporten B.V.;BV;Techniekstraat 1-3;2802 AE;GOUDA;;EUR;01-01-18;34;;
Frans Pasmans en Zn. V.o.f.;VOF;Kennedylaan 32;5571 KC;BERGEIJK;;EUR;22-03-20;2;;
Broer Transporten V.o.f.;VOF;Hoofdstraat 46;7213 CX;GORSSEL;;EUR;01-01-18;4;;
Leenaerts Transport Born B.V.;BV;Heirweg 9;6121 JP;BORN;;EUR;17-02-18;26;;
J.A.M. Janssen, h.o.n. J. Janssen;Eenmanszaak;Dennenmark 4;5427 LC;BOEKEL;;NAT;;1;;
Nijssen Fourages B.V.;BV;Rijnlanderweg 1427;2153 KE;NIEUW-VENNEP;;EUR;01-01-18;20;;
Beerten Grondverzetbedrijf B.V.;BV;Midbuulweg 6;6021 AA;BUDEL;;EUR;18-04-16;7;;
J. Dingelstad B.V.;BV;Echterstraat 41;6102 ES;ECHT;;EUR;28-08-16;5;;
P. van Buggenum Transporten B.V.;BV;Hingenderstraat 19;6111 AB;SINT JOOST;;NAT;;2;;
Maas Transporten Deurne B.V.;BV;As 6;5753 SX;DEURNE;;EUR;12-01-20;11;;
D.G. van de Nadort en Zoon B.V.;BV;Wielhovenstraat 58;3316 BK;DORDRECHT;;EUR;01-01-18;3;;
Scheres Containers V.o.f.;VOF;Dorpstraat 118;6102 TZ;ECHT;;EUR;22-03-20;5;;
H.S. Frederiks Internationaal Transport B.V.;BV;Bedrijfsweg 8;6541 DC;NIJMEGEN;;EUR;01-01-18;5;;
Transportbedrijf N.D. Heijgele en Zoon B.V.;BV;Peymeestersdreef 25;6216 PJ;MAASTRICHT;;EUR;01-01-18;1;;
Nijboer Transport V.o.f.;VOF;Proosdij 21;9936 EV;FARMSUM;;EUR;01-01-18;2;;
M.Th. Slegers, h.o.n. Transportbedrijf M. Slegers;Eenmanszaak;Flight Forum 3528;5657 DW;EINDHOVEN;;NAT;;1;;
W.A.M. van Happen;Eenmanszaak;Smient 11;5667 NH;GELDROP;;NAT;;2;;
Heeren Transport B.V.;BV;Gastelseweg 161;4705 RA;ROOSENDAAL;;EUR;04-03-18;41;;
Van Dalen B.V.;BV;Veilingweg 8;6851 EG;HUISSEN;;EUR;01-01-18;31;;
Transport- en Verhuisbedrijf Van Hunen & Zn. B.V.;BV;Transito 6;6909 DA;BABBERICH;;EUR;01-01-18;4;;
Getron Transport B.V.;BV;Ir. Herman de Grootweg 42;3201 AB;SPIJKENISSE;;EUR;01-01-18;30;;
W.Y.M. van Heugten, h.o.n. Expeditie Wim van Heugten;Eenmanszaak;Dommel 35 /37;5422 VH;GEMERT;;EUR;13-05-18;4;;
H.M.J. Hendriks-Verstijnen, h.o.n. Lambert Hendriks Transport;Eenmanszaak;Industrieweg 6  A;5256 PN;HEUSDEN;;EUR;01-01-18;15;;
Jos van den Elzen en Zonen B.V.;BV;Leije 3;5422 VB;GEMERT;;EUR;23-02-20;3;;
J.P.A. van Nuenen, h.o.n. J. van Nuenen;Eenmanszaak;Rooije-Hoefsedijk 27;5421 XP;GEMERT;;NAT;;1;;
Versfelt Worldwide Verhuizingen B.V.;BV;Park Forum 1119;5657 HK;EINDHOVEN;;EUR;01-01-18;8;;
Kîster Transport B.V.;BV;Siebengewaldseweg 25;6598 MA;HEIJEN;;EUR;05-09-16;8;;
Transportbedrijf J. Boosten B.V.;BV;De Koumen 50;6433 KD;HOENSBROEK;;EUR;03-11-18;10;;
V.o.f. Transportbedrijf van Dooren;VOF;In de Cramer 17;6411 RS;HEERLEN;;EUR;05-04-16;5;;
A. Boers B.V.;BV;Noordzijde 15;2969 AP;OUD-ALBLAS;;EUR;01-01-18;4;;
Kurvers Benzenrade B.V.;BV;Oude Roderweg 28;6422 PE;HEERLEN;;NAT;;20;;
L'Ortye Transportbedrijf B.V., h.o.n. L'Ortye Transport en Milieu;BV;De Koumen 72;6433 KE;HOENSBROEK;;EUR;01-01-18;43;;
Koers Transport B.V.;BV;Rijksweg 198;9423 PE;HOOGERSMILDE;;EUR;31-07-18;10;;
HCZ Transport V.o.f.;VOF;Kampstraat 115;6413 EC;HEERLEN;;NAT;;6;;
Brant Visser en Zonen B.V.;BV;Venus 12;8448 GW;HEERENVEEN;;EUR;01-01-18;67;;
P.H. Weerts en Zn. B.V.;BV;Churchilllaan 204;5705 BK;HELMOND;;NAT;;1;;
Transport-, Handelsbedrijf Hofmans B.V.;BV;Rijksweg 4 A;6596 AB;MILSBEEK;;EUR;15-11-15;1;;
Transtolk B.V.;BV;Transportweg 20;2676 LL;MAASDIJK;;EUR;01-01-18;40;;
V.o.f. Transportbedrijf N.J. van Verseveld;VOF;Achterweg 10;3941 PS;DOORN;;EUR;01-01-18;1;;
W.H. Bertholet en Zonen B.V.;BV;Locht 175;6465 AJ;KERKRADE;;EUR;02-03-19;3;;
R.J. Bakker, h.o.n. Transportbedrijf R.J. Bakker;Eenmanszaak;Dom Huybenlaan 2;1935 BB;EGMOND-BINNEN;;EUR;01-01-18;1;;
Eggen Logistiek & Aannemersbedrijf B.V.;BV;Gravenweg 39;6374 BA;LANDGRAAF;;EUR;01-01-18;6;;
W. van Maasakkers V.o.f.;VOF;Bruggerhuizen 2 A;5595 XA;LEENDE;;EUR;12-01-20;1;;
V.o.f. Simmelink;VOF;Maasstraat 1;6067 BC;LINNE;;EUR;02-03-19;2;;
P. Verheesen;Eenmanszaak;Weerdweg 10;6067 BN;LINNE;;EUR;29-11-15;1;;
Transportbedrijf Lesscher B.V.;BV;Oude Postweg 3;7561 SH;DEURNINGEN;;EUR;01-01-18;28;;
G.J. Crienen Transport- en Aannemingsbedrijf B.V.;BV;Pratwinkel 3 A;5991 NP;BAARLO;;EUR;20-12-15;7;;
Distri Service Helmond B.V.;BV;Achterdijk 7;5705 CB;HELMOND;;EUR;05-09-16;10;;
Van der Ent Verhuizingen B.V.;BV;Lorentzweg 25;3208 LJ;SPIJKENISSE;;EUR;01-01-18;28;;
Transportbedrijf en Pallethandel Leo van Rijswijk B.V.;BV;Henry Dunantweg 6;2411 NJ;BODEGRAVEN;;EUR;01-01-18;4;;
Transportbedrijf Meessen B.V.;BV;Longinastraat 101;6225 AJ;MAASTRICHT;;NAT;;3;;
M.C.V. Weerts B.V.;BV;Sandersweg 194;6219 NW;MAASTRICHT;;NAT;;2;;
Peterson Maastricht B.V., h.o.n. Vrachtunie Zuid;BV;Punterweg 50;6222 NW;MAASTRICHT;;EUR;01-01-18;4;;
A. Hak Transportbedrijf en Werktuigenverhuur B.V.;BV;Schaapherderweg 11;2988 CK;RIDDERKERK;;EUR;01-01-18;42;;
Transportbedrijf Bessems V.o.f.;VOF;Bredeweg 5;6262 NX;BANHOLT;;EUR;01-01-18;2;;
De Vrij Transport B.V.;BV;Verbreepark 3;2731 BR;BENTHUIZEN;;EUR;01-01-18;15;;
Transportbedrijf Redder Staphorst B.V.;BV;Achthoevenweg 20;7951 SK;STAPHORST;;EUR;01-01-18;123;;
Bolk Transport B.V.;BV;Plesmanweg 3;7602 PD;ALMELO;;EUR;01-01-18;104;;
B.V. Internationaal Transportbedrijf P. CuveljÇ en Zoon;BV;Dorpsweg 48;4223 NC;HOORNAAR;;EUR;01-01-18;16;;
V.o.f. Transportbedrijf J.L. Duijkers;VOF;Sint Catharinastraat 86;6235 BG;ULESTRATEN;;EUR;27-06-16;2;;
Van Rooijen Logistiek B.V.;BV;Achtseweg Noord 60;5651 GG;EINDHOVEN;;EUR;01-01-18;110;;
Transportbedrijf J. Welkenhuijsen B.V.;BV;Kasennerweg 14;6241 NM;BUNDE;;EUR;08-03-20;6;;
V.o.f. Transportbedrijf Jos van Happen;VOF;Bisschop van Mierlostraat 120;5731 GJ;MIERLO;;EUR;22-08-17;3;;
V.O.F. Fa. G. Coenen en Zonen;VOF;Domeinenstraat 3;5451 AD;MILL;;NAT;;1;;
Jansen Transport & Verhuur B.V.;BV;Kanaaldijk Zuid 24;5691 NL;SON;;EUR;29-11-15;81;;
Portena Transport- en Veembedrijf B.V.;BV;Tinweg 12;8445 PD;HEERENVEEN;;EUR;01-01-18;90;;
Aloys Roemaat Transport B.V.;BV;Alb. Schweitzerstraat 19;7131 PG;LICHTENVOORDE;;EUR;01-01-18;53;;
V.o.f. Transportbedrijf v. Kemenade;VOF;Opwettenseweg 54;5672 AJ;NUENEN;;EUR;29-12-19;1;;
Euser Speciaal Transport B.V.;BV;Nijverheidsweg 36;3274 KJ;HEINENOORD;;EUR;01-01-18;25;;
M.M.H. Daemen, h.o.n. M. Daemen Transport;Eenmanszaak;Beekpunge 128;5931 DR;TEGELEN;;EUR;01-01-18;1;;
Transportbedrijf Meens B.V.;BV;Vaesrade 79;6361 HH;NUTH;;EUR;01-01-18;5;;
Leenen Transport B.V.;BV;Vaarselstraat 34;5711 RE;SOMEREN;;EUR;01-01-18;3;;
Trucking H.N. Post en Zn. B.V.;BV;Heulweg 13;2641 KP;PIJNACKER;;EUR;01-01-18;11;;
Wagenborg Nedlift B.V.;BV;Gideonweg 5;9723 BM;GRONINGEN;;EUR;01-01-18;80;;
B.V. Internationaal Vervoer- en Expeditiebedr. v/h Fa. A.F. Rens & Zn;BV;Sint Jansstraat 142;4714 EK;SPRUNDEL;;EUR;01-01-18;3;;
V.o.f. Transportbedrijf Bouwmans Oeffelt;VOF;Kuipersstraat 39;5441 XK;OEFFELT;;EUR;17-12-17;1;;
Ambrosius Transporten Swolgen B.V.;BV;Jan van Swolgenstraat 17;5866 AS;SWOLGEN;;EUR;01-01-18;18;;
V.o.f. Wim Damen Veetransport;VOF;Dorpsstraat 11;6109 AC;OHE EN LAAK;;EUR;17-12-18;2;;
V.o.f. Van Sambeek;VOF;'t Kempke 4;5845 GB;SINT ANTHONIS;;EUR;27-08-17;3;;
Dijkshoorn Verhuis- en Transportbedrijf B.V.;BV;Trawlerweg 8;3133 KS;VLAARDINGEN;;EUR;01-01-18;11;;
Bleckmann Nederland B.V.;BV;Eekboerstraat 25;7575 AV;OLDENZAAL;;EUR;01-01-18;66;;
A. Rietveld en Zn. B.V.;BV;Visserijweg 3;4906 CJ;OOSTERHOUT;;EUR;01-01-18;15;;
H.C.A. Verbroekken, h.o.n. H. Verbroekken Transport;Eenmanszaak;Langenboomseweg 123;5451 JH;MILL;;NAT;;3;;
